55242 91467
3286 8236 41
3286 49638 50
3286 3287 139
3287 8237 40
3287 49640 50
3287 3288 139
3288 5385 40
3288 49137 50
3288 3289 139
3289 8238 40
3289 49138 51
3289 3290 139
3290 49139 51
3290 4906 40
3291 3292 67
3291 11603 122
3291 50376 58
3293 3294 100
3293 7330 269
3293 49817 18
3293 53905 29
3294 5827 153
3294 43933 230
3294 3295 82
3294 7337 78
3295 3296 79
3295 5828 126
3296 3297 78
3296 5829 103
3297 5830 81
3297 3298 83
3298 5831 44
3298 3353 199
3298 43932 46
3299 3739 255
3299 3382 36
3299 3354 80
3299 43932 32
3300 3301 212
3300 43217 389
3300 53903 187
3301 3302 84
3301 45521 9
3301 43231 155
3302 6881 133
3302 3303 83
3302 9005 203
3303 10477 203
3303 3304 83
3303 6880 106
3304 6879 79
3304 3305 106
3304 8554 203
3305 3306 160
3305 6878 45
3305 9470 204
3306 6877 62
3306 3307 25
3307 3308 72
3307 7862 85
3308 7863 85
3308 3309 209
3309 7864 85
3309 3310 289
3310 3311 79
3310 7865 92
3311 5186 524
3311 3312 80
3312 6758 274
3312 3313 80
3313 11938 259
3313 3314 80
3314 3315 80
3314 11409 245
3315 11939 231
3315 3316 80
3316 3317 80
3316 4236 175
3317 4237 99
3317 3318 80
3318 3319 28
3318 4238 25
3319 3502 65
3319 4238 34
3319 3320 54
3320 10109 172
3320 3321 80
3320 3502 49
3321 3322 80
3321 6408 77
3321 6407 157
3322 11400 143
3322 3323 80
3322 11399 93
3323 8242 108
3323 3324 80
3323 8241 129
3324 3976 114
3324 3325 80
3324 3977 121
3325 3326 80
3325 12008 137
3325 11942 100
3326 5099 85
3326 3327 80
3326 5100 151
3327 12405 166
3327 3328 79
3327 11943 71
3328 5199 294
3328 3329 81
3328 11911 180
3329 3330 80
3329 12406 194
3329 5200 280
3330 3331 80
3330 5201 265
3330 11222 209
3331 3332 80
3331 7816 222
3331 5202 251
3332 5203 237
3332 3333 80
3332 12407 237
3333 47046 80
3333 11619 251
3333 5204 222
3334 11944 44
3334 54779 193
3334 3335 83
3334 47046 83
3335 5205 178
3335 3336 80
3335 6820 59
3336 7128 74
3336 3337 80
3336 5206 162
3337 5207 148
3337 3338 80
3337 11934 88
3338 3339 86
3338 11386 102
3338 5208 134
3339 45818 87
3339 11851 118
3339 5209 119
3340 5313 147
3340 3341 81
3340 45818 78
3340 48952 89
3341 5210 74
3341 3342 80
3341 9852 162
3342 10657 177
3342 5211 60
3342 3343 80
3343 7070 283
3343 3344 80
3343 7071 191
3344 10710 205
3344 3345 80
3344 10709 269
3345 8587 254
3345 3346 80
3345 8588 219
3346 6681 233
3346 3347 79
3346 6680 237
3347 3348 87
3347 11935 248
3348 7330 147
3348 10323 263
3348 3349 86
3349 3350 80
3349 5917 280
3350 6993 295
3350 53905 64
3351 11213 285
3351 53904 83
3351 3352 83
3352 3353 79
3352 7317 84
3352 8517 258
3353 7317 43
3354 3421 58
3354 3355 86
3354 3740 212
3355 3422 85
3355 3356 138
3355 7420 98
3356 3357 152
3356 3963 83
3356 9144 95
3357 9145 95
3357 3358 173
3357 3964 85
3358 3359 179
3358 6662 96
3358 42334 81
3359 7007 88
3359 3360 108
3360 3361 117
3360 3749 184
3361 4826 182
3361 3362 106
3362 3363 81
3362 11601 180
3363 3364 73
3363 9646 181
3364 50376 106
3364 10163 180
3365 44092 29
3365 10020 252
3365 44102 18
3366 41209 104
3366 43189 388
3366 42932 1599
3367 47605 10
3367 41210 39
3367 11251 314
3367 41209 82
3368 9751 80
3368 8102 93
3368 8449 74
3368 42876 406
3368 43249 209
3369 42372 6
3369 3372 56
3369 42371 52
3370 7932 136
3370 9778 156
3370 43831 26
3371 51447 13
3371 43920 236
3371 3719 59
3371 43922 213
3372 43188 57
3372 42371 86
3373 46361 70
3373 6445 161
3373 42458 151
3374 6083 72
3374 43929 574
3374 6084 104
3375 42334 71
3375 3964 104
3375 43939 320
3376 50945 9
3376 6356 74
3376 42464 144
3377 54553 309
3377 42312 675
3377 42307 430
3378 7009 76
3379 43852 33
3379 55140 80
3379 4858 102
3380 5818 165
3380 6692 88
3380 7334 85
3381 7329 87
3381 6680 83
3381 8587 28
3383 7321 229
3383 4392 77
3383 7320 122
3384 42368 592
3384 42968 216
3384 43845 366
3385 4497 76
3385 5070 36
3385 5069 51
3386 8372 86
3386 3387 59
3386 42468 217
3387 10905 34
3387 12485 44
3388 42385 12
3388 54978 90
3388 3838 236
3388 8116 81
3389 42388 277
3389 42389 90
3389 43413 235
3389 3838 168
3389 3837 85
3389 44857 227
3390 42378 410
3390 43413 101
3390 42385 57
3391 44464 56
3391 7301 350
3391 42440 307
3392 44068 144
3392 3393 67
3392 42474 390
3393 10522 252
3393 46147 246
3393 6354 74
3394 49202 16
3394 8369 80
3394 44079 26
3394 44081 42
3395 10768 51
3395 8950 189
3395 3396 107
3396 12014 54
3396 54264 21
3397 3400 12
3397 3398 115
3397 8114 152
3398 3399 90
3400 6374 267
3400 42462 304
3401 52081 122
3402 44464 108
3402 3405 35
3402 3403 71
3403 42437 335
3403 3404 95
3404 3405 64
3404 42436 262
3405 3420 113
3406 5185 85
3406 3407 45
3406 8391 36
3406 8390 126
3407 12136 56
3407 50666 100
3408 42874 309
3408 4868 166
3408 9751 14
3409 52452 39
3409 45407 20
3409 45184 34
3410 49541 14
3410 6628 71
3410 49433 31
3410 52452 110
3411 3425 78
3411 11360 139
3411 47056 79
3412 11522 78
3412 6545 108
3412 43820 35
3413 4214 52
3413 3443 29
3413 3415 127
3413 5713 106
3414 9628 84
3414 9713 128
3414 3415 51
3414 4214 130
3414 42869 76
3415 5714 152
3415 9629 31
3415 42869 82
3416 3417 35
3416 12564 78
3416 3799 78
3416 3798 81
3417 3755 79
3417 3756 78
3417 44795 192
3418 42467 163
3418 6350 80
3418 3994 255
3418 44077 92
3419 49143 27
3419 6085 237
3419 42306 392
3420 42448 389
3420 10620 92
3420 44464 12
3422 3963 130
3422 3432 81
3422 51012 261
3423 6380 81
3423 4546 139
3423 6381 78
3424 7526 123
3424 6700 80
3424 4776 78
3425 11359 140
3425 4756 79
3426 42379 423
3426 42384 479
3426 54990 1366
3427 49747 31
3427 49185 32
3427 42373 56
3428 6254 25
3428 43943 190
3428 55097 246
3429 44847 33
3429 3771 158
3429 42356 199
3430 51899 6
3430 4551 30
3430 6708 45
3431 51696 11
3431 46275 34
3431 44088 109
3431 46276 69
3432 6787 97
3432 43929 225
3432 6082 124
3433 43960 84
3433 7473 422
3433 7602 144
3434 47865 13
3434 7602 113
3434 3531 218
3434 47866 95
3435 7483 41
3436 4843 41
3437 42470 161
3437 6382 88
3437 7387 61
3438 44082 223
3438 7781 316
3438 42452 188
3439 5164 46
3439 5734 79
3439 3986 227
3439 51905 97
3439 53654 102
3440 43073 153
3440 9532 142
3440 43681 67
3440 5285 118
3441 7936 89
3441 8025 41
3441 9777 78
3441 43830 29
3442 42867 160
3442 9629 65
3442 47962 68
3443 4215 80
3443 5727 131
3443 9629 126
3444 11042 76
3444 3445 123
3444 5680 78
3445 5679 79
3445 8936 75
3446 3447 82
3446 11500 255
3446 53329 58
3446 7937 268
3446 44415 82
3447 3448 78
3447 44415 8
3447 11501 254
3448 44418 8
3448 3449 78
3448 8117 253
3449 3450 78
3449 44419 8
3449 11502 253
3450 44420 8
3450 3451 78
3450 11503 253
3451 44421 8
3451 49594 82
3451 8485 253
3452 44416 8
3452 3453 78
3452 49594 83
3453 44417 8
3453 3454 77
3454 44423 8
3454 49593 81
3455 44424 7
3455 3456 79
3455 49593 78
3456 44426 7
3456 3457 77
3457 46474 85
3457 44410 7
3458 44408 9
3458 3459 78
3458 46475 40
3459 44407 10
3459 44413 35
3460 44411 10
3460 3461 83
3460 44413 26
3460 44428 40
3461 44405 56
3461 44412 10
3462 54071 187
3462 44428 958
3462 7284 503
3463 7835 216
3463 5295 94
3463 3464 43
3464 8444 118
3464 3465 72
3465 8445 123
3465 3466 78
3465 7836 201
3466 6801 169
3466 6800 123
3467 8328 83
3467 6735 322
3467 3468 252
3468 8751 83
3468 6736 79
3468 3469 262
3469 3470 93
3469 53851 83
3469 53850 73
3470 8068 126
3470 53850 99
3471 3472 207
3471 8744 83
3471 6740 79
3471 7774 100
3472 6741 79
3472 8745 83
3472 3473 231
3473 8746 82
3473 6742 79
3473 3474 191
3474 8747 83
3474 6743 79
3474 3475 84
3475 6298 83
3475 3476 126
3475 6297 78
3476 8748 83
3476 6744 79
3476 3477 255
3477 8749 83
3477 6745 79
3477 3478 106
3478 7105 83
3478 6746 79
3479 3480 73
3479 6748 79
3479 8068 60
3480 3481 268
3480 6749 78
3480 8752 79
3481 3482 268
3481 8753 79
3481 6750 79
3482 3483 269
3482 8754 78
3482 6751 79
3483 3484 267
3483 6752 78
3483 8755 79
3484 46334 218
3484 6753 79
3484 8756 79
3485 46332 19
3485 12221 75
3485 6526 112
3485 46139 18
3486 46139 323
3486 12271 79
3486 6738 79
3486 3487 238
3487 4700 79
3487 4699 79
3487 3488 238
3488 12272 79
3488 6739 78
3488 3489 237
3489 6173 79
3489 6172 79
3489 3490 236
3490 12273 78
3491 9310 61
3491 3492 179
3491 6718 77
3492 6719 76
3492 9310 230
3493 9020 242
3493 6337 79
3493 3494 246
3493 9088 81
3494 7615 81
3494 6338 79
3494 3495 72
3495 3571 87
3495 3570 88
3496 12176 73
3496 7525 224
3496 3497 160
3497 12013 73
3497 53370 159
3498 53370 157
3498 4582 73
3498 11793 141
3499 43849 122
3499 3500 126
3499 6544 68
3500 49267 8
3500 44499 62
3500 9446 65
3501 44500 15
3501 8512 65
3501 8033 105
3501 43805 115
3502 3503 22
3503 4239 73
3503 6408 61
3504 3607 32
3504 43758 57
3504 43261 34
3504 43762 15
3505 43768 12
3505 43765 31
3505 43749 134
3505 43762 79
3506 3507 83
3506 8940 147
3506 43767 58
3506 43768 65
3507 52509 103
3507 3508 86
3507 43977 156
3508 43976 166
3508 3509 77
3508 5455 139
3509 3510 79
3509 5456 167
3509 43975 171
3510 43974 173
3510 3511 77
3510 5457 196
3511 3512 77
3511 4284 194
3511 43973 175
3512 3513 77
3512 43972 175
3512 4055 193
3513 3514 77
3513 4998 193
3513 43955 172
3514 3515 77
3514 43971 168
3514 11728 193
3515 54507 78
3515 11729 193
3515 43957 164
3516 3517 77
3516 9792 163
3516 43959 182
3516 54507 77
3517 43969 189
3517 3518 79
3517 6975 148
3518 3519 80
3518 9536 132
3518 43949 194
3519 3520 80
3519 43968 198
3519 11730 115
3520 3521 80
3520 8818 98
3520 43967 202
3521 3522 82
3521 4650 110
3521 4649 82
3522 3523 80
3522 10597 65
3522 10598 127
3523 43964 211
3523 3524 83
3523 11212 48
3524 3525 79
3524 43950 214
3524 7855 31
3525 11731 14
3525 3526 98
3525 43962 217
3526 43961 218
3526 11731 96
3526 3527 113
3526 9501 202
3527 3528 17
3527 10874 26
3527 10166 103
3528 10874 29
3528 3529 95
3529 3530 113
3529 6143 218
3529 6565 123
3530 6144 213
3530 3531 113
3530 7601 143
3531 3532 81
3531 6145 209
3532 3533 14
3532 6146 205
3533 47866 219
3533 3534 76
3534 3535 90
3534 5051 70
3534 47867 217
3535 47868 219
3535 3536 80
3535 12127 54
3536 3537 71
3536 6148 195
3536 47869 219
3537 47870 218
3537 3538 72
3537 6149 192
3538 3539 98
3538 6150 189
3538 47480 221
3539 47481 218
3539 27117 91
3539 6151 184
3540 41809 17
3540 43806 127
3540 8718 128
3540 41816 40
3541 41809 70
3541 3542 83
3541 4478 53
3541 52057 117
3542 43185 86
3542 8118 119
3542 49648 86
3543 3544 23
3543 43185 102
3543 8510 166
3544 11763 116
3544 3545 64
3545 3546 35
3545 8511 204
3546 47150 47
3546 9550 115
3547 47150 58
3547 3926 114
3547 3548 81
3547 8034 135
3548 3549 99
3548 11764 113
3549 44503 17
3549 8035 26
3549 8034 117
3550 3551 96
3550 44503 54
3550 49580 109
3551 4480 170
3551 3552 90
3551 4479 180
3552 3553 80
3552 4669 219
3552 4670 117
3553 4841 69
3553 3554 83
3553 4840 255
3554 7925 291
3554 3555 36
3555 3556 69
3555 11767 55
3555 7926 26
3556 12111 148
3556 3557 100
3557 12583 90
3557 3558 102
3557 11768 99
3558 3559 27
3558 9776 159
3559 9365 65
3559 3560 76
3559 9773 26
3560 3561 100
3560 10365 135
3561 3562 95
3561 4658 116
3561 4659 283
3562 3563 111
3562 7515 175
3563 4036 232
3563 3564 105
3563 4035 240
3564 43709 211
3564 4560 55
3564 3565 92
3565 8921 207
3565 9206 94
3565 3566 89
3566 7291 207
3566 3567 94
3566 7290 130
3567 3568 97
3567 6046 207
3567 6045 169
3568 3569 89
3568 6275 105
3568 6274 209
3569 12548 245
3569 3570 90
3570 9089 105
3570 7615 35
3571 6338 108
3571 3572 88
3572 7616 144
3572 3573 108
3572 9459 106
3573 11069 105
3573 3574 147
3574 11799 104
3574 3575 110
3574 11798 83
3575 3576 90
3575 12182 128
3576 10101 83
3576 3577 185
3576 11458 49
3577 3578 137
3577 8251 47
3578 6484 84
3578 3579 154
3578 6483 76
3579 4315 113
3579 3580 83
3580 3581 34
3580 8725 84
3581 3582 200
3581 6623 57
3582 11035 84
3582 3583 60
3583 49325 173
3583 10860 29
3584 9064 83
3584 49325 73
3584 3585 160
3585 5507 119
3585 5508 84
3585 3586 87
3586 3587 213
3586 8965 138
3587 4025 77
3587 3588 44
3587 8275 100
3588 4026 30
3588 3589 122
3589 11036 84
3590 51794 26
3590 51795 28
3590 51793 32
3590 51796 30
3591 11038 84
3591 3592 66
3591 51795 115
3592 3593 108
3592 4612 111
3593 3594 58
3593 4612 36
3594 9717 84
3594 3595 176
3595 3596 72
3595 6641 50
3596 8410 84
3596 3597 212
3596 6641 35
3596 6203 213
3597 6203 66
3597 3598 104
3597 6207 85
3598 47454 57
3598 47455 64
3599 5680 84
3599 3600 233
3599 47454 74
3599 5681 36
3600 5983 88
3600 3601 43
3600 10308 84
3601 3602 188
3601 5594 190
3602 11043 86
3602 3603 146
3602 5594 56
3603 44536 96
3603 4385 85
3604 44536 14
3604 4386 41
3604 3605 149
3604 5425 85
3605 3606 223
3605 10980 83
3606 11048 84
3606 43773 99
3606 49726 116
3607 43771 20
3607 4390 333
3607 43261 54
3608 7879 80
3608 3609 157
3608 7880 100
3609 6111 101
3609 6110 80
3609 3610 268
3610 10624 101
3610 8187 81
3610 3611 213
3611 6286 111
3611 6285 88
3611 3612 211
3612 4928 87
3612 3613 243
3612 4929 112
3613 10625 112
3613 8188 87
3613 3614 173
3614 7098 112
3614 7097 87
3614 48706 161
3615 48706 333
3615 54875 80
3615 48299 101
3615 48304 9
3616 45813 84
3616 10627 101
3616 8190 80
3616 48304 263
3617 41254 128
3617 8192 80
3617 10628 102
3617 3618 268
3618 8193 80
3618 10629 104
3618 3619 268
3619 10630 101
3619 8194 80
3619 3620 268
3620 8195 80
3620 10631 102
3620 3621 268
3621 10632 102
3621 5057 44
3621 3622 60
3622 5057 75
3622 3623 209
3622 5058 168
3623 10633 102
3623 3624 298
3623 8197 80
3624 8198 80
3624 3625 286
3624 10634 102
3625 10635 102
3625 8199 80
3625 3626 62
3626 10636 106
3626 8200 84
3626 3627 179
3627 4713 80
3627 4714 102
3627 3628 276
3628 8201 80
3628 10637 103
3628 3629 260
3629 10638 102
3629 8202 80
3629 3630 268
3630 10639 101
3630 8203 80
3630 3631 253
3631 8204 80
3631 10640 101
3631 3632 238
3632 8205 80
3632 10641 102
3632 3633 107
3633 10642 108
3633 3634 161
3633 8206 88
3634 10643 102
3634 8207 80
3634 54848 237
3635 54848 238
3635 10645 102
3635 8208 80
3635 3636 237
3636 10646 101
3636 8209 81
3636 3637 72
3637 10647 102
3637 3638 180
3637 8210 82
3638 10648 100
3638 8211 82
3638 3639 143
3639 6357 116
3639 6358 101
3640 46344 75
3640 6432 100
3640 6431 96
3641 46344 10
3641 5868 100
3641 5867 67
3642 3643 79
3642 11138 109
3642 8186 83
3642 8847 105
3644 54685 13
3644 49236 195
3644 49235 64
3645 3646 45
3645 49449 90
3645 8040 75
3646 3647 79
3646 8040 69
3646 11561 239
3647 11562 240
3647 3648 79
3647 8041 177
3648 5837 238
3648 3649 73
3648 11563 239
3649 6774 241
3649 3650 79
3649 5225 239
3650 5838 239
3650 49356 72
3650 11714 78
3651 5839 239
3651 3652 85
3651 49356 86
3651 6165 241
3652 11565 238
3652 3653 79
3652 5840 237
3653 5386 237
3653 49626 79
3653 6014 237
3654 10915 236
3654 3655 79
3654 49626 80
3654 5842 237
3655 3656 71
3655 4785 237
3655 4784 236
3656 3657 79
3656 10830 234
3656 5843 236
3657 3658 79
3657 5844 236
3657 10002 235
3658 7598 235
3658 3659 79
3658 5845 236
3659 5600 236
3659 3660 79
3659 5599 236
3660 3661 78
3660 11566 125
3660 5846 236
3661 5847 236
3661 3662 79
3661 8800 236
3662 4584 236
3662 3663 79
3662 4585 236
3663 5848 236
3663 3664 79
3663 6001 235
3664 3665 80
3664 11567 235
3664 5849 235
3665 3666 78
3665 5850 236
3665 10391 235
3666 5851 236
3666 3667 79
3666 11568 235
3667 8798 235
3667 3668 79
3667 5852 235
3668 3669 79
3668 5853 235
3668 11569 235
3669 10373 235
3669 3670 79
3669 5854 235
3670 3671 79
3670 5855 236
3670 6781 235
3671 11570 235
3671 3672 79
3671 5856 236
3672 5857 236
3672 3673 108
3672 11055 235
3673 3674 78
3673 43218 184
3673 5858 236
3674 3675 79
3674 55174 236
3674 43225 157
3675 3676 79
3675 8720 237
3675 5859 237
3676 4573 237
3676 3677 79
3676 4572 237
3677 11571 237
3677 3678 79
3677 5860 237
3678 3679 79
3678 5694 232
3678 5693 236
3679 3680 79
3679 11572 237
3679 5861 239
3680 3681 78
3680 53914 239
3680 11573 237
3681 8254 237
3681 3682 79
3681 5862 237
3682 3683 79
3682 4067 237
3683 11574 237
3683 3684 79
3684 3685 79
3684 9181 237
3685 4974 237
3685 3686 79
3686 3687 78
3686 6401 237
3687 3688 79
3687 11575 237
3688 3689 79
3688 7267 237
3689 3690 78
3689 11421 237
3690 3691 79
3690 11576 237
3691 11577 236
3691 3692 158
3692 11578 237
3692 5186 1019
3692 3693 79
3693 3694 79
3693 10371 237
3694 3695 79
3694 6763 237
3695 3696 79
3695 5863 236
3695 11579 237
3696 5864 236
3696 3697 78
3696 11407 237
3697 11580 236
3697 3698 79
3697 5865 238
3698 3699 79
3698 11581 237
3699 11242 237
3699 3700 79
3700 5792 237
3700 3701 79
3700 11582 237
3701 10107 237
3701 3702 79
3701 5793 237
3702 3703 79
3702 5794 237
3702 6404 237
3703 11402 237
3703 3704 79
3703 5795 237
3704 5796 237
3704 3705 79
3704 8239 236
3705 3971 236
3705 3706 79
3705 3972 237
3706 5797 237
3706 3707 79
3706 11583 236
3707 5094 236
3707 3708 79
3707 5095 237
3708 5798 237
3708 3709 79
3708 11584 236
3709 44803 237
3709 3710 79
3709 5799 237
3710 5800 237
3710 3711 79
3710 11585 236
3711 3712 79
3711 11220 236
3711 5801 237
3712 5802 237
3712 3713 79
3712 7814 236
3713 11586 236
3713 3714 79
3713 5803 237
3714 5804 237
3714 47050 79
3714 11587 236
3715 5805 237
3715 11588 236
3715 3716 82
3715 47050 82
3716 6817 237
3716 3717 79
3716 5806 237
3717 3718 79
3717 5807 237
3717 7141 237
3718 11589 237
3718 3719 78
3718 5808 236
3719 11393 236
3720 5810 238
3720 51447 21
3720 3721 68
3721 3722 68
3721 43944 55
3721 5811 237
3722 5330 254
3722 3723 70
3722 43946 63
3723 3724 29
3723 11591 247
3724 5812 240
3724 3725 63
3725 3726 81
3725 11592 248
3725 7115 144
3726 7116 125
3726 10655 248
3726 3727 103
3727 9854 248
3727 3728 103
3727 5815 244
3728 3729 81
3728 5817 243
3728 8601 248
3729 6679 248
3729 46263 76
3729 5819 243
3730 46263 98
3730 3731 90
3730 5823 254
3730 10322 257
3731 3732 86
3731 5915 257
3731 5824 254
3732 3733 83
3732 5825 255
3732 6991 256
3733 11594 256
3733 3734 85
3733 5826 255
3734 5827 254
3734 3735 83
3734 54979 257
3735 8516 256
3735 3736 86
3735 5828 254
3736 5829 253
3736 3737 84
3736 11595 257
3737 10011 256
3737 3738 85
3737 5830 254
3738 3739 84
3738 5831 253
3738 8168 257
3739 11596 258
3739 3740 84
3740 3741 85
3740 10836 258
3741 7420 91
3741 3742 85
3741 7419 230
3742 11597 207
3742 3743 69
3743 9144 91
3743 3744 76
3743 11364 179
3744 3745 76
3744 9321 157
3745 9888 136
3745 3746 76
3745 9145 91
3746 3747 92
3746 11599 114
3747 3748 182
3747 6661 88
3747 6662 90
3748 7006 37
3748 50752 63
3748 52154 66
3749 11600 34
3749 50752 47
3749 8979 51
3750 43890 51
3750 43220 46
3750 3883 79
3750 43226 152
3750 44808 223
3751 44842 193
3751 43890 93
3751 3752 79
3751 43886 19
3752 43888 31
3752 3753 79
3752 44845 194
3753 44856 193
3753 3796 38
3753 3754 79
3754 3797 36
3754 3755 79
3754 44853 191
3755 3798 35
3755 44804 191
3756 3799 37
3756 44858 190
3756 3757 80
3757 43898 35
3757 3758 78
3757 44820 192
3758 3800 35
3758 44827 191
3758 3759 79
3759 3801 34
3759 3760 79
3759 44818 191
3760 44863 190
3760 3802 35
3760 3761 79
3761 3803 36
3761 3762 78
3761 44861 190
3762 44840 192
3762 3763 79
3762 43900 34
3763 3804 35
3763 3764 79
3763 44843 191
3764 44817 191
3764 3765 79
3764 3805 36
3765 3806 34
3765 3766 79
3765 44825 191
3766 44822 191
3766 3767 79
3766 3807 36
3767 3808 35
3767 3768 79
3767 44844 192
3768 44838 191
3768 3769 79
3768 3809 36
3769 3810 37
3769 3770 80
3769 44815 191
3770 44865 191
3770 3771 76
3770 3811 36
3771 3772 82
3771 43899 37
3772 44854 192
3772 3812 35
3772 3773 78
3773 44787 192
3773 3774 80
3773 3813 36
3774 3814 36
3774 3775 79
3774 44811 192
3775 44799 192
3775 3776 78
3775 3815 36
3776 3816 35
3776 3777 79
3776 44794 191
3777 44849 191
3777 3778 79
3777 3817 37
3778 3818 37
3778 3779 78
3778 44793 191
3779 44841 190
3779 3780 79
3779 3819 38
3780 3820 38
3780 3781 79
3780 44821 190
3781 44789 191
3781 3782 78
3781 3821 37
3782 3822 36
3782 3783 80
3782 44835 192
3783 44832 192
3783 3784 79
3783 3823 35
3784 3824 39
3784 3785 80
3784 44819 189
3785 44831 191
3785 3786 78
3785 3825 38
3786 3826 39
3786 43907 46
3786 44864 191
3787 43907 32
3787 44830 190
3787 3788 79
3788 43918 15
3788 3789 79
3788 44833 190
3789 44824 190
3789 3790 79
3789 43919 15
3790 51295 11
3790 3791 79
3790 44834 191
3791 44850 189
3791 43921 13
3791 47053 78
3792 43917 11
3792 44829 190
3792 47053 82
3792 54116 71
3793 54116 10
3793 43906 15
3793 44836 189
3794 43916 186
3794 43913 15
3794 45484 179
3795 8719 145
3795 43889 62
3795 43885 93
3795 43888 36
3796 4571 377
3796 3797 78
3796 43889 23
3797 12113 174
3797 3798 78
3798 5692 175
3799 52132 37
3799 43898 80
3800 3801 79
3800 4068 86
3800 43898 78
3801 11755 97
3801 3802 79
3802 9182 109
3802 3803 79
3803 43900 77
3804 3805 79
3804 43900 81
3804 51394 30
3805 3806 79
3806 54245 236
3806 3807 78
3807 3808 79
3807 8674 235
3808 3809 79
3808 8673 235
3809 3810 79
3809 8672 235
3810 8671 234
3810 3811 80
3811 43899 74
3811 8670 234
3812 3813 79
3812 8669 234
3812 43899 82
3813 3814 80
3813 8668 234
3814 3815 79
3814 8667 234
3815 3816 78
3815 8666 235
3816 3817 79
3816 8665 236
3817 3818 79
3817 8664 234
3818 8663 234
3818 3819 79
3819 3820 80
3819 6403 234
3820 8662 234
3820 3821 78
3821 3822 78
3821 8248 234
3822 3970 234
3822 3823 79
3823 3824 79
3823 8661 235
3824 3825 79
3824 5111 234
3825 3826 79
3825 8660 233
3826 43908 47
3826 8659 233
3827 3828 79
3827 8658 234
3827 43908 30
3828 3829 79
3828 8657 233
3828 43909 9
3829 43910 10
3829 3830 79
3829 7813 234
3830 8656 234
3830 3831 79
3830 51622 10
3831 43902 11
3831 3832 78
3831 8655 234
3832 3833 82
3832 5909 235
3833 43911 9
3833 8654 235
3833 3834 82
3834 6816 236
3834 3835 80
3835 43904 19
3835 7143 233
3836 3837 79
3836 51944 223
3836 43904 57
3837 8653 217
3838 3839 45
3839 54978 241
3839 3840 28
3839 5321 235
3840 3841 51
3840 12135 59
3841 11591 243
3841 3842 56
3841 12135 35
3842 3843 23
3842 12106 153
3843 3844 84
3843 11592 246
3844 9035 168
3844 3845 97
3844 10655 246
3845 9036 169
3845 3846 81
3845 9854 247
3846 10134 237
3846 3847 79
3847 3848 79
3847 8600 80
3847 8599 237
3848 6678 237
3848 3849 79
3848 6679 240
3849 11593 239
3849 3850 80
3849 10135 237
3850 3851 82
3850 10322 239
3850 10136 237
3851 5914 236
3851 3852 85
3851 5915 239
3852 6991 240
3852 3853 84
3852 6990 237
3853 10137 237
3853 3854 84
3853 11594 239
3854 54979 239
3854 3855 85
3854 10138 237
3855 8515 237
3855 3856 84
3855 8516 239
3856 11595 240
3856 3857 84
3856 10139 237
3857 10010 237
3857 3858 79
3857 10011 240
3858 3859 79
3858 8168 240
3858 8167 237
3859 10140 237
3859 3860 79
3859 11596 241
3860 10836 242
3860 3861 100
3860 10141 237
3861 7418 237
3861 7419 241
3861 3862 85
3862 10142 237
3862 3863 79
3862 11597 241
3863 11365 240
3863 3864 79
3863 10143 236
3864 10144 236
3864 3865 37
3864 11598 240
3865 3866 41
3865 9888 249
3866 9889 236
3866 3867 37
3867 11599 249
3867 3868 41
3868 3869 49
3868 10145 237
3869 3870 29
3869 6661 250
3870 6667 237
3870 3871 70
3871 9601 254
3871 3872 91
3871 9599 239
3872 7005 237
3872 3873 81
3872 7006 250
3873 11600 250
3873 3874 80
3873 10146 258
3874 8977 185
3874 3875 73
3874 8979 241
3875 3876 12
3875 4827 110
3876 4826 218
3876 3877 98
3877 11601 190
3877 3878 44
3877 11994 56
3878 3879 37
3878 5929 54
3879 3880 76
3879 9646 180
3880 3881 71
3880 10163 171
3881 3882 67
3881 11602 163
3882 4693 160
3882 46278 168
3883 3884 77
3883 8683 235
3883 44807 224
3884 44826 223
3884 3885 79
3884 6780 236
3885 3886 79
3885 8682 236
3885 44866 223
3886 44798 223
3886 3887 79
3886 8681 236
3887 3888 79
3887 53372 236
3887 44806 224
3888 44855 224
3888 3889 78
3888 8680 236
3889 3890 79
3889 44797 224
3889 8679 236
3890 3891 79
3890 8678 236
3890 44801 223
3891 48704 79
3891 44802 222
3891 6000 235
3892 3893 158
3892 48704 237
3892 44846 223
3892 51403 386
3893 8115 76
3893 3894 106
3894 4782 75
3894 3895 79
3894 4781 184
3895 10914 186
3895 3896 79
3895 44814 219
3896 44839 219
3896 3897 79
3896 7175 186
3897 44788 219
3897 3898 80
3897 6013 186
3898 12117 185
3898 3899 78
3898 44862 220
3899 44859 220
3899 3900 79
3899 6164 186
3900 3901 78
3900 4319 185
3900 44848 220
3901 44805 220
3901 3902 79
3901 12180 184
3902 3903 79
3902 44800 220
3903 44791 220
3903 3904 80
3903 8967 184
3904 12179 185
3904 49645 78
3904 44860 219
3905 3906 79
3905 49645 79
3905 12178 185
3905 44786 220
3906 3907 79
3906 44867 218
3906 8920 185
3907 3908 85
3907 8038 186
3907 11233 185
3908 8037 38
3908 11723 185
3909 49200 16
3909 8370 181
3909 46410 58
3909 8369 80
3910 45354 8
3910 42636 55
3910 51397 15
3910 51396 21
3911 10287 129
3911 7981 237
3911 3912 78
3911 7982 140
3911 11724 121
3912 3913 82
3912 10286 143
3912 11724 105
3913 47956 93
